accommodation_rates	audit_accommodation_rates	252_remaining_reference_tables.sql (dynamic)
accommodation_rates	auto_populate_accommodation_tenant_id	013_accommodation_rates_rls.sql
accommodation_rates	sync_accommodation_name_trigger	103_add_missing_accommodation_columns.sql
accommodation_rates	trg_sync_accommodation_engine_columns	220_reconcile_accommodation_rate_columns.sql
accommodation_rates	update_accommodation_rates_updated_at	103_add_missing_accommodation_columns.sql
activity_rates	audit_activity_rates	252_remaining_reference_tables.sql (dynamic)
activity_rates	trigger_activity_rates_updated_at	116_add_activity_rates_columns.sql
airport_staff	auto_populate_airport_staff_tenant_id	017_create_staff_tables_with_rls.sql
airport_staff	update_airport_staff_updated_at	017_create_staff_tables_with_rls.sql
airport_staff_rates	audit_airport_staff_rates	252_remaining_reference_tables.sql (dynamic)
airport_staff_rates	trigger_airport_staff_rates_updated_at	110_create_airport_staff_rates.sql
b2b_partners	update_b2b_partners_updated_at	000_foundation_tables.sql
b2b_quotes	update_b2b_quotes_updated_at	001_phase1_core_tables.sql
b2c_quotes	update_b2c_quotes_updated_at	001_phase1_core_tables.sql
billing_invoices	trigger_billing_invoices_updated_at	030_admin_billing_fixed.sql
booking_passengers	update_booking_passengers_updated_at	100_create_bookings.sql
booking_payments	update_booking_payments_updated_at	100_create_bookings.sql
bookings	calculate_balance_trigger	100_create_bookings.sql
bookings	trigger_bookings_assignee_tenant	272_trip_assignee.sql
bookings	update_bookings_updated_at	100_create_bookings.sql
client_followups	update_client_followups_updated_at	035_create_client_followups.sql
client_notes	auto_populate_client_notes_tenant_id	019_client_related_tables.sql
client_notes	update_client_notes_updated_at	019_client_related_tables.sql
client_preferences	auto_populate_client_preferences_tenant_id	019_client_related_tables.sql
client_preferences	update_client_preferences_updated_at	019_client_related_tables.sql
clients	trigger_update_client_full_name	129_clients_schema_update.sql
clients	update_clients_updated_at	000_foundation_tables.sql
communication_history	set_tenant_id_communication_history	244_communication_history.sql
communication_history	touch_communication_history_trg	244_communication_history.sql
communication_threads	trigger_comm_threads_updated_at	203_communication_copilot.sql
